SOURCE,TARGET,SENTIMENT_SCORE,SENTIMENT
2,12,0.3220275938510895,neutro
2,6,0.3220275938510895,neutro
2,7,0.3220275938510895,neutro
2,3,0.3220275938510895,neutro
2,4,0.3220275938510895,neutro
2,10,0.3220275938510895,neutro
2,8,0.3220275938510895,neutro
2,9,0.3220275938510895,neutro
2,11,0.3220275938510895,neutro
2,1,0.3220275938510895,neutro
11,12,0.3629162013530731,positivo
11,6,0.3629162013530731,positivo
11,2,0.3629162013530731,positivo
11,7,0.3629162013530731,positivo
11,3,0.3629162013530731,positivo
11,4,0.3629162013530731,positivo
11,10,0.3629162013530731,positivo
11,8,0.3629162013530731,positivo
11,9,0.3629162013530731,positivo
11,1,0.3629162013530731,positivo
12,6,0.2891024947166443,positivo
12,2,0.2891024947166443,positivo
12,7,0.2891024947166443,positivo
12,3,0.2891024947166443,positivo
12,4,0.2891024947166443,positivo
12,10,0.2891024947166443,positivo
12,8,0.2891024947166443,positivo
12,9,0.2891024947166443,positivo
12,11,0.2891024947166443,positivo
12,1,0.2891024947166443,positivo
1,12,0.2651269733905792,positivo
1,6,0.2651269733905792,positivo
1,2,0.2651269733905792,positivo
1,7,0.2651269733905792,positivo
1,3,0.2651269733905792,positivo
1,4,0.2651269733905792,positivo
1,10,0.2651269733905792,positivo
1,8,0.2651269733905792,positivo
1,9,0.2651269733905792,positivo
1,11,0.2651269733905792,positivo
12,6,0.2783985137939453,negativo
12,2,0.2783985137939453,negativo
12,7,0.2783985137939453,negativo
12,3,0.2783985137939453,negativo
12,4,0.2783985137939453,negativo
12,10,0.2783985137939453,negativo
12,8,0.2783985137939453,negativo
12,9,0.2783985137939453,negativo
12,11,0.2783985137939453,negativo
12,1,0.2783985137939453,negativo
2,12,0.2386313527822495,positivo
2,6,0.2386313527822495,positivo
2,7,0.2386313527822495,positivo
2,3,0.2386313527822495,positivo
2,4,0.2386313527822495,positivo
2,10,0.2386313527822495,positivo
2,8,0.2386313527822495,positivo
2,9,0.2386313527822495,positivo
2,11,0.2386313527822495,positivo
2,1,0.2386313527822495,positivo
1,12,0.4592501521110535,positivo
1,6,0.4592501521110535,positivo
1,2,0.4592501521110535,positivo
1,7,0.4592501521110535,positivo
1,3,0.4592501521110535,positivo
1,4,0.4592501521110535,positivo
1,10,0.4592501521110535,positivo
1,8,0.4592501521110535,positivo
1,9,0.4592501521110535,positivo
1,11,0.4592501521110535,positivo
1,12,0.5258422493934631,positivo
1,6,0.5258422493934631,positivo
1,2,0.5258422493934631,positivo
1,7,0.5258422493934631,positivo
1,3,0.5258422493934631,positivo
1,4,0.5258422493934631,positivo
1,10,0.5258422493934631,positivo
1,8,0.5258422493934631,positivo
1,9,0.5258422493934631,positivo
1,11,0.5258422493934631,positivo
9,12,0.4814952909946442,positivo
9,6,0.4814952909946442,positivo
9,2,0.4814952909946442,positivo
9,7,0.4814952909946442,positivo
9,3,0.4814952909946442,positivo
9,4,0.4814952909946442,positivo
9,10,0.4814952909946442,positivo
9,8,0.4814952909946442,positivo
9,11,0.4814952909946442,positivo
9,1,0.4814952909946442,positivo
9,12,0.3066471517086029,positivo
9,6,0.3066471517086029,positivo
9,2,0.3066471517086029,positivo
9,7,0.3066471517086029,positivo
9,3,0.3066471517086029,positivo
9,4,0.3066471517086029,positivo
9,10,0.3066471517086029,positivo
9,8,0.3066471517086029,positivo
9,11,0.3066471517086029,positivo
9,1,0.3066471517086029,positivo
